,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
127,2457494,CONCORDE AS,,,,,,116.0,CROCKETT WZ,1947789.0,VALESCA AS,2457493.0,VIVALDI VAN DE KAMPEL,115079.0,2019,Deutsches Sportpferd,,,1617041.0,2,,False
128,2457449,JAURANA DE L'AUBIER,JAURANA DE L AUBIER,JAURANA DE LAUBIER,,,,10.0,ZE CARIOCA,1877710.0,LAURANA,255800.0,VENDOME D'URIAT,255805.0,2019,Selle Francais,25000119369665Q,,1616962.0,2,,False
129,2457440,ORLY VAN HOLTINGHE Z,,,,,,5.0,ZENTO,37809.0,GISELLE,1643984.0,INDOCTRO,1937.0,2019,Zangersheide,528003202001440,,1616948.0,0,,False
130,2457439,OCTOPUS,,,,,D-OC,1.0,LEVISTO Z,66059.0,HENIG AN,1843151.0,STAKKATO,15144.0,2019,KWPN (Royal Dutch Sporthorse),528003201904368,,1616956.0,2,,False
131,2457433,OLANDA Z,,,,,,5.0,UNTOUCHABLE,46156.0,B.HEUREKA V,2390272.0,CARTANO,46159.0,2019,Zangersheide,056015Z55586719,,1616937.0,2,,False
132,2457406,PATRIOTE DE MARIPOSA Z,,,,,,5.0,POKER DE MARIPOSA TN,1969522.0,ANASTACIA,184458.0,TRIOMPHE,8659.0,2019,Zangersheide,056015Z55575819,,1616879.0,0,,False
133,2457403,GENOVA M,,,,,,443.0,CORIANO'S ASS,357194.0,GENADIA M,2457401.0,CORRADO BOY,1491390.0,2019,Polski kon sportowy,616009690090019,,1616876.0,2,,False
134,2457365,OROSANI,,,,,Stb.,1.0,CONTENDRO II,8793.0,GINGER,692690.0,CARAMBOLE,160621.0,2019,KWPN (Royal Dutch Sporthorse),528003201900970,,1616800.0,2,,False
135,2457251,DOMINGO,,,,,,6.0,DANTE'S JUNIOR,1971826.0,FASINE,1503606.0,FUERST ROMANCIER,284062.0,2019,Oldenburger Verband,,,1616487.0,0,,False
136,2457244,B,,,,,,2.0,BALOU DU ROUET,8240.0,BIRKE III,1896692.0,CASALL,49609.0,2019,Holsteiner Verband,276421000016219,,1616632.0,0,,False
137,2457243,OBELIX,,,,,,1.0,CANTONA TN,1568466.0,JUMPING GIRL,1967920.0,KANNAN GFE,42058.0,2019,KWPN (Royal Dutch Sporthorse),528003201901743,,1616484.0,1,,False
